    0.408478200435638428E+00    0.957804739475250244E+01    0.979200959205627441E+00    0.585249960309413630E+01   -0.528109270481381565E+07   -0.599146350544150419E+01    1
    0.644287407398223877E+00    0.955507040023803711E+01    0.957086920738220215E+00    0.348508450782712309E+01   -0.497258712817453034E+07   -0.599396350544151169E+01    1
    0.444229602813720703E+00    0.886758327484130859E+01    0.852418303489685059E+00    0.361273035982921753E+01   -0.432724167872836348E+07   -0.599646350544151474E+01    1
    0.348843634128570557E+00    0.933936059474945068E+01    0.815886855125427246E+00    0.567537725307730589E+01   -0.419906432709420845E+07   -0.599896350544151957E+01    1
    0.595676958560943604E+00    0.944529950618743896E+01    0.719201266765594482E+00    0.346232833726699241E+01   -0.408674647644853685E+07   -0.600146350544151552E+01    1
    0.363320946693420410E+00    0.788140416145324707E+01    0.911410927772521973E+00    0.429987510632604319E+01   -0.375317946234448580E+07   -0.600396350544151858E+01    1
    0.279249787330627441E+00    0.866247117519378662E+01    0.870402157306671143E+00    0.479075457605487287E+01   -0.369938068339368096E+07   -0.600646350544151630E+01    1
    0.506589531898498535E+00    0.857111990451812744E+01    0.985141336917877197E+00    0.366180239025339804E+00   -0.368879185216183169E+07   -0.600896350544152469E+01    1
    0.671263217926025391E+00    0.783950805664062500E+01    0.999547958374023438E+00    0.391304567328174580E+01   -0.362115837314846320E+07   -0.601146350544151886E+01    1
    0.599631726741790771E+00    0.915778875350952148E+01    0.695966601371765137E+00    0.321967624546767217E+01   -0.358263112319493480E+07   -0.601396350544150859E+01    1
    0.641629219055175781E+00    0.978267371654510498E+01    0.916918635368347168E+00    0.959849903795525816E+00   -0.357391005814300524E+07   -0.601646350544151520E+01    1
    0.415313720703125000E+00    0.989525139331817627E+01    0.434997856616973877E+00    0.508123346240930118E+01   -0.354866535828386759E+07   -0.601896350544151559E+01    1
    0.538865029811859131E+00    0.971024036407470703E+01    0.576732397079467773E+00    0.612957038882164085E+01   -0.326133606214001216E+07   -0.602146350544152753E+01    1
    0.732231438159942627E+00    0.860922038555145264E+01    0.994460642337799072E+00    0.606837856194786163E+01   -0.308573887341044052E+07   -0.602396350544153325E+01    1
    0.656348109245300293E+00    0.970278084278106689E+01    0.712297677993774414E+00    0.141488380781837730E+00   -0.295321727503151586E+07   -0.602646350544152298E+01    1
    0.483433961868286133E+00    0.827775061130523682E+01    0.604270279407501221E+00    0.346500681153333989E+01   -0.288199707941319607E+07   -0.602896350544150561E+01    1
    0.463313341140747070E+00    0.736176967620849609E+01    0.991516351699829102E+00    0.145899699068093830E+00   -0.285709076984388800E+07   -0.603146350544150955E+01    1
    0.275249898433685303E+00    0.941877365112304688E+01    0.933072924613952637E+00    0.198729083605726276E+01   -0.285046763290332584E+07   -0.603396350544152682E+01    1
    0.313877046108245850E+00    0.793646633625030518E+01    0.697630047798156738E+00    0.537747189235183853E+01   -0.277275141537306365E+07   -0.603646350544153165E+01    1
